conservation_practice,concern,value
Restoration of Rare and Declining Habitats,Plant Pest Pressure,4
Fence ,Plant Productivity and Health,2
Streambank and Shoreline Protection ,Plant Productivity and Health,4
Heavy Use Area Protection ,Plant Productivity and Health,0
Livestock Pipeline ,Plant Productivity and Health,2
Prescribed Grazing (IRA),Plant Productivity and Health,5
Cover Crop (IRA),Plant Productivity and Health,2
Tree/Shrub Establishment (IRA),Plant Productivity and Health,5
Brush Management ,Plant Productivity and Health,5
Dike and Levee ,Plant Productivity and Health,0
Herbaceous Weed Treatment ,Plant Productivity and Health,5
Residue and Tillage Mgmt (No Till) (IRA),Plant Productivity and Health,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Plant Productivity and Health,2
Conservation Crop Rotation (IRA),Plant Productivity and Health,4
Wildlife Habitat Planting (IRA),Plant Productivity and Health,1
Pasture and Hay Planting ,Plant Productivity and Health,4
Critical Area Planting (IRA),Plant Productivity and Health,2
Range planting (IRA),Plant Productivity and Health,5
Channel Bed Stabilization ,Plant Productivity and Health,2
Conservation Cover (IRA),Plant Productivity and Health,4
Access Control ,Plant Productivity and Health,3
Wetland Restoration (IRA),Plant Productivity and Health,4
Watering Facility ,Plant Productivity and Health,2
Riparian Forest Buffer (IRA),Plant Productivity and Health,5
Nutrient Management (IRA),Plant Productivity and Health,4
Pest Management Conservation System ,Plant Productivity and Health,0
Structures for Wildlife ,Plant Productivity and Health,0
Stream Crossing ,Plant Productivity and Health,0
Structure for Water Control ,Plant Productivity and Health,0
Stream Habitat Improvement and Management ,Plant Productivity and Health,4
Grade Stabilization Structure ,Plant Productivity and Health,0
Riparian Herbaceous Cover (IRA),Plant Productivity and Health,5
Aquatic Organism Passage ,Plant Productivity and Health,0
Wetland Creation ,Plant Productivity and Health,4
Wetland Enhancement ,Plant Productivity and Health,4
Wetland Wildlife Habitat Management ,Plant Productivity and Health,4
Shallow Water Development and Management ,Plant Productivity and Health,2
Restoration of Rare and Declining Habitats,Plant Productivity and Health,4
Fence ,Plant Structure and Composition,2
Streambank and Shoreline Protection ,Plant Structure and Composition,4
Heavy Use Area Protection ,Plant Structure and Composition,0
Livestock Pipeline ,Plant Structure and Composition,0
Prescribed Grazing (IRA),Plant Structure and Composition,4
Cover Crop (IRA),Plant Structure and Composition,1
Tree/Shrub Establishment (IRA),Plant Structure and Composition,5
Brush Management ,Plant Structure and Composition,5
Dike and Levee ,Plant Structure and Composition,1
Herbaceous Weed Treatment ,Plant Structure and Composition,5
Residue and Tillage Mgmt (No Till) (IRA),Plant Structure and Composition,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Plant Structure and Composition,0
Conservation Crop Rotation (IRA),Plant Structure and Composition,1
Wildlife Habitat Planting (IRA),Plant Structure and Composition,2
Pasture and Hay Planting ,Plant Structure and Composition,4
Critical Area Planting (IRA),Plant Structure and Composition,4
Range planting (IRA),Plant Structure and Composition,5
Channel Bed Stabilization ,Plant Structure and Composition,4
Conservation Cover (IRA),Plant Structure and Composition,4
Access Control ,Plant Structure and Composition,4
Wetland Restoration (IRA),Plant Structure and Composition,4
Watering Facility ,Plant Structure and Composition,0
Riparian Forest Buffer (IRA),Plant Structure and Composition,5
Nutrient Management (IRA),Plant Structure and Composition,3
Pest Management Conservation System ,Plant Structure and Composition,0
Structures for Wildlife ,Plant Structure and Composition,0
Stream Crossing ,Plant Structure and Composition,0
Structure for Water Control ,Plant Structure and Composition,0
Stream Habitat Improvement and Management ,Plant Structure and Composition,4
Grade Stabilization Structure ,Plant Structure and Composition,0
Riparian Herbaceous Cover (IRA),Plant Structure and Composition,4
Aquatic Organism Passage ,Plant Structure and Composition,0
Wetland Creation ,Plant Structure and Composition,4
Wetland Enhancement ,Plant Structure and Composition,4
Wetland Wildlife Habitat Management ,Plant Structure and Composition,4
Shallow Water Development and Management ,Plant Structure and Composition,4
Restoration of Rare and Declining Habitats,Plant Structure and Composition,4
Fence ,Wildfire Hazard from Biomass Accumulation,0
Streambank and Shoreline Protection ,Wildfire Hazard from Biomass Accumulation,0
Heavy Use Area Protection ,Wildfire Hazard from Biomass Accumulation,0
Livestock Pipeline ,Wildfire Hazard from Biomass Accumulation,0
Prescribed Grazing (IRA),Wildfire Hazard from Biomass Accumulation,3
Cover Crop (IRA),Wildfire Hazard from Biomass Accumulation,0
Tree/Shrub Establishment (IRA),Wildfire Hazard from Biomass Accumulation,0
Brush Management ,Wildfire Hazard from Biomass Accumulation,4
Dike and Levee ,Wildfire Hazard from Biomass Accumulation,0
Herbaceous Weed Treatment ,Wildfire Hazard from Biomass Accumulation,4
Residue and Tillage Mgmt (No Till) (IRA),Wildfire Hazard from Biomass Accumulation,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Wildfire Hazard from Biomass Accumulation,0
Conservation Crop Rotation (IRA),Wildfire Hazard from Biomass Accumulation,0
Wildlife Habitat Planting (IRA),Wildfire Hazard from Biomass Accumulation,0
Pasture and Hay Planting ,Wildfire Hazard from Biomass Accumulation,0
Critical Area Planting (IRA),Wildfire Hazard from Biomass Accumulation,0
Range planting (IRA),Wildfire Hazard from Biomass Accumulation,0
Channel Bed Stabilization ,Wildfire Hazard from Biomass Accumulation,0
Conservation Cover (IRA),Wildfire Hazard from Biomass Accumulation,0
Access Control ,Wildfire Hazard from Biomass Accumulation,3
Wetland Restoration (IRA),Wildfire Hazard from Biomass Accumulation,0
Watering Facility ,Wildfire Hazard from Biomass Accumulation,0
Riparian Forest Buffer (IRA),Wildfire Hazard from Biomass Accumulation,0
Nutrient Management (IRA),Wildfire Hazard from Biomass Accumulation,0
Pest Management Conservation System ,Wildfire Hazard from Biomass Accumulation,0
Structures for Wildlife ,Wildfire Hazard from Biomass Accumulation,0
Stream Crossing ,Wildfire Hazard from Biomass Accumulation,0
Structure for Water Control ,Wildfire Hazard from Biomass Accumulation,0
Stream Habitat Improvement and Management ,Wildfire Hazard from Biomass Accumulation,0
Grade Stabilization Structure ,Wildfire Hazard from Biomass Accumulation,0
Riparian Herbaceous Cover (IRA),Wildfire Hazard from Biomass Accumulation,0
Aquatic Organism Passage ,Wildfire Hazard from Biomass Accumulation,0
Wetland Creation ,Wildfire Hazard from Biomass Accumulation,0
Wetland Enhancement ,Wildfire Hazard from Biomass Accumulation,0
Wetland Wildlife Habitat Management ,Wildfire Hazard from Biomass Accumulation,0
Shallow Water Development and Management ,Wildfire Hazard from Biomass Accumulation,0
Restoration of Rare and Declining Habitats,Wildfire Hazard from Biomass Accumulation,0
Fence ,Feed and Forage Imbalance,3
Streambank and Shoreline Protection ,Feed and Forage Imbalance,1
Heavy Use Area Protection ,Feed and Forage Imbalance,0
Livestock Pipeline ,Feed and Forage Imbalance,0
Prescribed Grazing (IRA),Feed and Forage Imbalance,5
Cover Crop (IRA),Feed and Forage Imbalance,1
Tree/Shrub Establishment (IRA),Feed and Forage Imbalance,0
Brush Management ,Feed and Forage Imbalance,4
Dike and Levee ,Feed and Forage Imbalance,0
Herbaceous Weed Treatment ,Feed and Forage Imbalance,4
Residue and Tillage Mgmt (No Till) (IRA),Feed and Forage Imbalance,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Feed and Forage Imbalance,0
Conservation Crop Rotation (IRA),Feed and Forage Imbalance,2
Wildlife Habitat Planting (IRA),Feed and Forage Imbalance,0
Pasture and Hay Planting ,Feed and Forage Imbalance,5
Critical Area Planting (IRA),Feed and Forage Imbalance,0
Range planting (IRA),Feed and Forage Imbalance,5
Channel Bed Stabilization ,Feed and Forage Imbalance,0
Conservation Cover (IRA),Feed and Forage Imbalance,0
Access Control ,Feed and Forage Imbalance,3
Wetland Restoration (IRA),Feed and Forage Imbalance,2
Watering Facility ,Feed and Forage Imbalance,2
Riparian Forest Buffer (IRA),Feed and Forage Imbalance,0
Nutrient Management (IRA),Feed and Forage Imbalance,4
Pest Management Conservation System ,Feed and Forage Imbalance,0
Structures for Wildlife ,Feed and Forage Imbalance,0
Stream Crossing ,Feed and Forage Imbalance,2
Structure for Water Control ,Feed and Forage Imbalance,0
Stream Habitat Improvement and Management ,Feed and Forage Imbalance,0
Grade Stabilization Structure ,Feed and Forage Imbalance,0
Riparian Herbaceous Cover (IRA),Feed and Forage Imbalance,4
Aquatic Organism Passage ,Feed and Forage Imbalance,0
Wetland Creation ,Feed and Forage Imbalance,2
Wetland Enhancement ,Feed and Forage Imbalance,2
Wetland Wildlife Habitat Management ,Feed and Forage Imbalance,2
Shallow Water Development and Management ,Feed and Forage Imbalance,1
Restoration of Rare and Declining Habitats,Feed and Forage Imbalance,2
Fence ,Inadequate Livestock Shelter,0
Streambank and Shoreline Protection ,Inadequate Livestock Shelter,0
Heavy Use Area Protection ,Inadequate Livestock Shelter,0
Livestock Pipeline ,Inadequate Livestock Shelter,0
Prescribed Grazing (IRA),Inadequate Livestock Shelter,2
Cover Crop (IRA),Inadequate Livestock Shelter,0
Tree/Shrub Establishment (IRA),Inadequate Livestock Shelter,2
Brush Management ,Inadequate Livestock Shelter,0
Dike and Levee ,Inadequate Livestock Shelter,0
Herbaceous Weed Treatment ,Inadequate Livestock Shelter,0
Residue and Tillage Mgmt (No Till) (IRA),Inadequate Livestock Shelter,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Inadequate Livestock Shelter,0
Conservation Crop Rotation (IRA),Inadequate Livestock Shelter,0
Wildlife Habitat Planting (IRA),Inadequate Livestock Shelter,0
Pasture and Hay Planting ,Inadequate Livestock Shelter,0
Critical Area Planting (IRA),Inadequate Livestock Shelter,0
Range planting (IRA),Inadequate Livestock Shelter,0
Channel Bed Stabilization ,Inadequate Livestock Shelter,0
Conservation Cover (IRA),Inadequate Livestock Shelter,0
Access Control ,Inadequate Livestock Shelter,1
Wetland Restoration (IRA),Inadequate Livestock Shelter,0
Watering Facility ,Inadequate Livestock Shelter,0
Riparian Forest Buffer (IRA),Inadequate Livestock Shelter,1
Nutrient Management (IRA),Inadequate Livestock Shelter,0
Pest Management Conservation System ,Inadequate Livestock Shelter,0
Structures for Wildlife ,Inadequate Livestock Shelter,0
Stream Crossing ,Inadequate Livestock Shelter,0
Structure for Water Control ,Inadequate Livestock Shelter,0
Stream Habitat Improvement and Management ,Inadequate Livestock Shelter,0
Grade Stabilization Structure ,Inadequate Livestock Shelter,0
Riparian Herbaceous Cover (IRA),Inadequate Livestock Shelter,0
Aquatic Organism Passage ,Inadequate Livestock Shelter,0
Wetland Creation ,Inadequate Livestock Shelter,0
Wetland Enhancement ,Inadequate Livestock Shelter,0
Wetland Wildlife Habitat Management ,Inadequate Livestock Shelter,0
Shallow Water Development and Management ,Inadequate Livestock Shelter,0
Restoration of Rare and Declining Habitats,Inadequate Livestock Shelter,0
Fence ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Streambank and Shoreline Protection ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Heavy Use Area Protection ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Livestock Pipeline ,"Inadequate Livestock Water Quantity, Quality and Distribution",5
Prescribed Grazing (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",2
Cover Crop (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Tree/Shrub Establishment (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Brush Management ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Dike and Levee ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Herbaceous Weed Treatment ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Residue and Tillage Mgmt (No Till) (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Residue and Tillage Mgmt (Reduced Till) (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Conservation Crop Rotation (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Wildlife Habitat Planting (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Pasture and Hay Planting ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Critical Area Planting (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Range planting (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Channel Bed Stabilization ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Conservation Cover (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Access Control ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Wetland Restoration (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Watering Facility ,"Inadequate Livestock Water Quantity, Quality and Distribution",5
Riparian Forest Buffer (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Nutrient Management (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Pest Management Conservation System ,"Inadequate Livestock Water Quantity, Quality and Distribution",2
Structures for Wildlife ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Stream Crossing ,"Inadequate Livestock Water Quantity, Quality and Distribution",2
Structure for Water Control ,"Inadequate Livestock Water Quantity, Quality and Distribution",1
Stream Habitat Improvement and Management ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Grade Stabilization Structure ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Riparian Herbaceous Cover (IRA),"Inadequate Livestock Water Quantity, Quality and Distribution",0
Aquatic Organism Passage ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Wetland Creation ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Wetland Enhancement ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Wetland Wildlife Habitat Management ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Shallow Water Development and Management ,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Restoration of Rare and Declining Habitats,"Inadequate Livestock Water Quantity, Quality and Distribution",0
Fence ,Terrestrial Habitat for Wildlife and Invertebrates,1
Streambank and Shoreline Protection ,Terrestrial Habitat for Wildlife and Invertebrates,2
Heavy Use Area Protection ,Terrestrial Habitat for Wildlife and Invertebrates,0
Livestock Pipeline ,Terrestrial Habitat for Wildlife and Invertebrates,0
Prescribed Grazing (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
Cover Crop (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
Tree/Shrub Establishment (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
Brush Management ,Terrestrial Habitat for Wildlife and Invertebrates,3
Dike and Levee ,Terrestrial Habitat for Wildlife and Invertebrates,0
Herbaceous Weed Treatment ,Terrestrial Habitat for Wildlife and Invertebrates,4
Residue and Tillage Mgmt (No Till) (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
Residue and Tillage Mgmt (Reduced Till) (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
Conservation Crop Rotation (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
Wildlife Habitat Planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
Pasture and Hay Planting ,Terrestrial Habitat for Wildlife and Invertebrates,4
Critical Area Planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
Range planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
Channel Bed Stabilization ,Terrestrial Habitat for Wildlife and Invertebrates,0
Conservation Cover (IRA),Terrestrial Habitat for Wildlife and Invertebrates,3
Access Control ,Terrestrial Habitat for Wildlife and Invertebrates,4
Wetland Restoration (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
Watering Facility ,Terrestrial Habitat for Wildlife and Invertebrates,2
Riparian Forest Buffer (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
Nutrient Management (IRA),Terrestrial Habitat for Wildlife and Invertebrates,0
Pest Management Conservation System ,Terrestrial Habitat for Wildlife and Invertebrates,4
Structures for Wildlife ,Terrestrial Habitat for Wildlife and Invertebrates,4
Stream Crossing ,Terrestrial Habitat for Wildlife and Invertebrates,0
Structure for Water Control ,Terrestrial Habitat for Wildlife and Invertebrates,0
Stream Habitat Improvement and Management ,Terrestrial Habitat for Wildlife and Invertebrates,3
Grade Stabilization Structure ,Terrestrial Habitat for Wildlife and Invertebrates,1
Riparian Herbaceous Cover (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
Aquatic Organism Passage ,Terrestrial Habitat for Wildlife and Invertebrates,2
Wetland Creation ,Terrestrial Habitat for Wildlife and Invertebrates,2
Wetland Enhancement ,Terrestrial Habitat for Wildlife and Invertebrates,2
Wetland Wildlife Habitat Management ,Terrestrial Habitat for Wildlife and Invertebrates,5
Shallow Water Development and Management ,Terrestrial Habitat for Wildlife and Invertebrates,5
Restoration of Rare and Declining Habitats,Terrestrial Habitat for Wildlife and Invertebrates,5
Fence ,Aquatic Habitat for Fish and other Organisms,1
Streambank and Shoreline Protection ,Aquatic Habitat for Fish and other Organisms,2
Heavy Use Area Protection ,Aquatic Habitat for Fish and other Organisms,0
Livestock Pipeline ,Aquatic Habitat for Fish and other Organisms,0
Prescribed Grazing (IRA),Aquatic Habitat for Fish and other Organisms,1
Cover Crop (IRA),Aquatic Habitat for Fish and other Organisms,0
Tree/Shrub Establishment (IRA),Aquatic Habitat for Fish and other Organisms,4
Brush Management ,Aquatic Habitat for Fish and other Organisms,0
Dike and Levee ,Aquatic Habitat for Fish and other Organisms,-1
Herbaceous Weed Treatment ,Aquatic Habitat for Fish and other Organisms,0
Residue and Tillage Mgmt (No Till) (IRA),Aquatic Habitat for Fish and other Organisms,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Aquatic Habitat for Fish and other Organisms,0
Conservation Crop Rotation (IRA),Aquatic Habitat for Fish and other Organisms,0
Wildlife Habitat Planting (IRA),Aquatic Habitat for Fish and other Organisms,2
Pasture and Hay Planting ,Aquatic Habitat for Fish and other Organisms,0
Critical Area Planting (IRA),Aquatic Habitat for Fish and other Organisms,1
Range planting (IRA),Aquatic Habitat for Fish and other Organisms,1
Channel Bed Stabilization ,Aquatic Habitat for Fish and other Organisms,1
Conservation Cover (IRA),Aquatic Habitat for Fish and other Organisms,1
Access Control ,Aquatic Habitat for Fish and other Organisms,3
Wetland Restoration (IRA),Aquatic Habitat for Fish and other Organisms,1
Watering Facility ,Aquatic Habitat for Fish and other Organisms,0
Riparian Forest Buffer (IRA),Aquatic Habitat for Fish and other Organisms,5
Nutrient Management (IRA),Aquatic Habitat for Fish and other Organisms,3
Pest Management Conservation System ,Aquatic Habitat for Fish and other Organisms,2
Structures for Wildlife ,Aquatic Habitat for Fish and other Organisms,3
Stream Crossing ,Aquatic Habitat for Fish and other Organisms,3
Structure for Water Control ,Aquatic Habitat for Fish and other Organisms,4
Stream Habitat Improvement and Management ,Aquatic Habitat for Fish and other Organisms,5
Grade Stabilization Structure ,Aquatic Habitat for Fish and other Organisms,1
Riparian Herbaceous Cover (IRA),Aquatic Habitat for Fish and other Organisms,2
Aquatic Organism Passage ,Aquatic Habitat for Fish and other Organisms,5
Wetland Creation ,Aquatic Habitat for Fish and other Organisms,1
Wetland Enhancement ,Aquatic Habitat for Fish and other Organisms,1
Wetland Wildlife Habitat Management ,Aquatic Habitat for Fish and other Organisms,0
Shallow Water Development and Management ,Aquatic Habitat for Fish and other Organisms,0
Restoration of Rare and Declining Habitats,Aquatic Habitat for Fish and other Organisms,5
Fence ,Energy Efficiency of Equipment and Facilities,0
Streambank and Shoreline Protection ,Energy Efficiency of Equipment and Facilities,0
Heavy Use Area Protection ,Energy Efficiency of Equipment and Facilities,0
Livestock Pipeline ,Energy Efficiency of Equipment and Facilities,3
Prescribed Grazing (IRA),Energy Efficiency of Equipment and Facilities,0
Cover Crop (IRA),Energy Efficiency of Equipment and Facilities,0
Tree/Shrub Establishment (IRA),Energy Efficiency of Equipment and Facilities,3
Brush Management ,Energy Efficiency of Equipment and Facilities,0
Dike and Levee ,Energy Efficiency of Equipment and Facilities,0
Herbaceous Weed Treatment ,Energy Efficiency of Equipment and Facilities,0
Residue and Tillage Mgmt (No Till) (IRA),Energy Efficiency of Equipment and Facilities,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Energy Efficiency of Equipment and Facilities,0
Conservation Crop Rotation (IRA),Energy Efficiency of Equipment and Facilities,0
Wildlife Habitat Planting (IRA),Energy Efficiency of Equipment and Facilities,0
Pasture and Hay Planting ,Energy Efficiency of Equipment and Facilities,0
Critical Area Planting (IRA),Energy Efficiency of Equipment and Facilities,0
Range planting (IRA),Energy Efficiency of Equipment and Facilities,0
Channel Bed Stabilization ,Energy Efficiency of Equipment and Facilities,0
Conservation Cover (IRA),Energy Efficiency of Equipment and Facilities,0
Access Control ,Energy Efficiency of Equipment and Facilities,0
Wetland Restoration (IRA),Energy Efficiency of Equipment and Facilities,0
Watering Facility ,Energy Efficiency of Equipment and Facilities,1
Riparian Forest Buffer (IRA),Energy Efficiency of Equipment and Facilities,0
Nutrient Management (IRA),Energy Efficiency of Equipment and Facilities,0
Pest Management Conservation System ,Energy Efficiency of Equipment and Facilities,0
Structures for Wildlife ,Energy Efficiency of Equipment and Facilities,0
Stream Crossing ,Energy Efficiency of Equipment and Facilities,0
Structure for Water Control ,Energy Efficiency of Equipment and Facilities,0
Stream Habitat Improvement and Management ,Energy Efficiency of Equipment and Facilities,0
Grade Stabilization Structure ,Energy Efficiency of Equipment and Facilities,0
Riparian Herbaceous Cover (IRA),Energy Efficiency of Equipment and Facilities,0
Aquatic Organism Passage ,Energy Efficiency of Equipment and Facilities,0
Wetland Creation ,Energy Efficiency of Equipment and Facilities,0
Wetland Enhancement ,Energy Efficiency of Equipment and Facilities,0
Wetland Wildlife Habitat Management ,Energy Efficiency of Equipment and Facilities,0
Shallow Water Development and Management ,Energy Efficiency of Equipment and Facilities,0
Restoration of Rare and Declining Habitats,Energy Efficiency of Equipment and Facilities,0
Fence ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Streambank and Shoreline Protection ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Heavy Use Area Protection ,Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Livestock Pipeline ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Prescribed Grazing (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,2
Cover Crop (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Tree/Shrub Establishment (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Brush Management ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Dike and Levee ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Herbaceous Weed Treatment ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Residue and Tillage Mgmt (No Till) (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,4
Residue and Tillage Mgmt (Reduced Till) (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,3
Conservation Crop Rotation (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,2
Wildlife Habitat Planting (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Pasture and Hay Planting ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Critical Area Planting (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Range planting (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Channel Bed Stabilization ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Conservation Cover (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Access Control ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Wetland Restoration (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Watering Facility ,Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Riparian Forest Buffer (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Nutrient Management (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Pest Management Conservation System ,Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Structures for Wildlife ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Stream Crossing ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Structure for Water Control ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Stream Habitat Improvement and Management ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Grade Stabilization Structure ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Riparian Herbaceous Cover (IRA),Energy Efficiency of Farming/Ranching Practices and Field Operations,1
Aquatic Organism Passage ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Wetland Creation ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Wetland Enhancement ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Wetland Wildlife Habitat Management ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Shallow Water Development and Management ,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
Restoration of Rare and Declining Habitats,Energy Efficiency of Farming/Ranching Practices and Field Operations,0
